Respondent_ID,City,City_Tier,Gender,Age,Monthly_Household_Income,Education,Occupation,Skin_Type,Current_Monthly_Skincare_Spend_INR,Primary_Brand_Trust_Source,Eco_Awareness_Score_1to5,Willingness_to_Pay_Premium,Preferred_Ingredients,Preferred_Packaging,Products_Currently_Used,Preferred_Purchase_Channel,Purchase_Frequency,Satisfaction_Current_Brand_1to5,Likelihood_to_Switch_1to5,NPS_Score_0to10,Heard_of_Sustainable_Skincare,Trial_Intent,Ideal_Price_Point_30ml_Serum,Subscription_Interest,Primary_Social_Platform,Influencer_Trust_1to5,Certification_Importance,Income_Code,Education_Code,Purchase_Freq_Code,WTP_Premium_Code,Trial_Intent_Code,Subscription_Code,Certification_Code,Awareness_Code,City_Tier_Code,Price_Point_Code,NPS_Segment,Spend_Bucket,High_Eco_Aware,Switching_Risk,Positive_Trial_Intent,Age_Group
SKC0012,Coimbatore,Tier 2,Female,30,"₹25,000–₹50,000",Doctoral,Salaried – Government,Combination,500.0,Online reviews,4.1,5–10%,Clinically tested actives,Recycled/recyclable packaging,"Serum, Exfoliant",Brand website (D2C),Rarely,2,3,4.0,"No, not aware",Definitely not,"Above ₹1,000",Somewhat interested,Instagram,5.0,Important,2,4,1,1,1,3,3,0,0,4,Detractor,<500,1,0,0,25-34
SKC0013,Hyderabad,Tier 1,Female,35,"₹25,000–₹50,000",Undergraduate,Self-employed / Business,Combination,770.0,Social media influencer,2.2,5–10%,Chemical-free / Natural,Minimalist paper packaging,"Toner, Serum, Moisturiser",Nykaa / Purplle,Every 2–3 months,3,3,5.0,"No, not aware",Definitely not,₹300–₹600,Neutral,Pinterest,4.0,Somewhat important,2,2,2,1,1,2,2,0,1,2,Detractor,500-1000,0,0,0,35-44
SKC0014,Vadodara,Tier 2,Male,36,"Below ₹25,000",Postgraduate,Student,Dry,330.0,Online reviews,2.7,5–10%,Chemical-free / Natural,Biodegradable packaging,"Face mask, Exfoliant, Moisturiser, Cleanser",Amazon / Flipkart,Rarely,4,3,7.0,"Yes, aware but not tried",Definitely not,₹300–₹600,Somewhat interested,YouTube,3.0,Extremely important,1,3,1,1,1,3,4,1,0,2,Passive,<500,0,0,0,35-44
SKC0015,Pune,Tier 1,Female,29,"₹25,000–₹50,000",Undergraduate,Student,Oily,580.0,Social media influencer,2.9,5–10%,Vegan & cruelty-free,Refillable containers,"Eye cream, Cleanser, Face mask, Serum, Sunscreen",Instagram / Social commerce,Every 2–3 months,5,1,10.0,"Yes, use such products",Probably would try,Below ₹300,Somewhat interested,YouTube,3.0,Extremely important,2,2,2,1,4,3,4,2,1,1,Promoter,500-1000,0,0,1,25-34
SKC0016,Bengaluru,Tier 1,Female,38,"₹25,000–₹50,000",Postgraduate,Self-employed / Business,Combination,1080.0,Social media influencer,2.9,11–20%,Chemical-free / Natural,Recycled/recyclable packaging,"Sunscreen, Eye cream",Amazon / Flipkart,Monthly,3,1,3.0,"Yes, aware but not tried",Probably not,"₹600–₹1,000",Somewhat interested,Facebook,2.0,Somewhat important,2,3,3,2,2,3,2,1,1,3,Detractor,1001-2000,0,0,0,35-44
SKC0017,Chandigarh,Tier 2,Female,24,"Above ₹1,00,000",Undergraduate,Student,Dry,4030.0,Online reviews,2.4,11–20%,Chemical-free / Natural,Recycled/recyclable packaging,"Sunscreen, Cleanser, Face mask, Moisturiser",Nykaa / Purplle,Weekly,2,4,4.0,"Yes, use such products",Probably not,"₹600–₹1,000",Neutral,YouTube,2.0,Important,4,2,5,2,2,2,3,2,0,3,Detractor,3500+,0,1,0,18-24
SKC0018,Indore,Tier 2,Female,27,"₹25,000–₹50,000",Undergraduate,Freelancer,Oily,570.0,Online reviews,2.0,5–10%,Clinically tested actives,Refillable containers,"Face mask, Sunscreen, Moisturiser",Brand website (D2C),Monthly,3,4,6.0,"Yes, aware but not tried",Probably not,"₹600–₹1,000",Somewhat interested,YouTube,2.0,Extremely important,2,2,3,1,2,3,4,1,0,3,Detractor,500-1000,0,1,0,25-34
SKC0019,Ahmedabad,Tier 1,Female,31,"₹50,000–₹1,00,000",Postgraduate,Salaried – Private,Combination,1650.0,Family / Friends,3.5,11–20%,Chemical-free / Natural,Refillable containers,"Cleanser, Toner, Eye cream, Serum",Instagram / Social commerce,Weekly,4,2,7.0,"No, not aware",Definitely not,"₹600–₹1,000",Neutral,Twitter/X,4.0,Not important,3,3,5,2,1,2,1,0,1,3,Passive,1001-2000,1,0,0,25-34
SKC0020,Ahmedabad,Tier 1,Male,25,"Above ₹1,00,000",High School,Self-employed / Business,Dry,4170.0,Dermatologist recommendation,2.9,11–20%,No strong preference,No preference,"Sunscreen, Exfoliant, Serum",Brand website (D2C),Every 2–3 months,3,3,6.0,"Yes, aware but not tried",Probably not,"Above ₹1,000",Not interested,Instagram,3.0,Somewhat important,4,1,2,2,2,1,2,1,1,4,Detractor,3500+,0,0,0,25-34
SKC0021,Agra,Tier 2,Female,22,"₹50,000–₹1,00,000",Postgraduate,Salaried – Private,Dry,1980.0,Social media influencer,3.4,11–20%,No strong preference,Refillable containers,"Eye cream, Cleanser, Face mask, Toner, Moisturiser",Instagram / Social commerce,Fortnightly,2,4,3.0,"No, not aware",Definitely not,"₹600–₹1,000",Somewhat interested,Instagram,1.0,Extremely important,3,3,4,2,1,3,4,0,0,3,Detractor,1001-2000,0,1,0,18-24
SKC0022,Lucknow,Tier 2,Male,23,"₹50,000–₹1,00,000",Postgraduate,Salaried – Private,Combination,1890.0,Social media influencer,3.8,11–20%,Clinically tested actives,Minimalist paper packaging,"Sunscreen, Cleanser",Brand website (D2C),Monthly,3,3,6.0,"No, not aware",Definitely not,₹300–₹600,Not interested,YouTube,2.0,Extremely important,3,3,3,2,1,1,4,0,0,2,Detractor,1001-2000,1,0,0,18-24
SKC0023,Chennai,Tier 1,Male,29,"₹50,000–₹1,00,000",Undergraduate,Salaried – Private,Dry,1840.0,Family / Friends,2.3,5–10%,Vegan & cruelty-free,Minimalist paper packaging,"Moisturiser, Sunscreen, Exfoliant",Offline retail,Monthly,4,1,9.0,"Yes, use such products",Probably not,"₹600–₹1,000",Somewhat interested,YouTube,5.0,Important,3,2,3,1,2,3,3,2,1,3,Promoter,1001-2000,0,0,0,25-34
SKC0024,Mumbai,Tier 1,Female,33,"₹50,000–₹1,00,000",Postgraduate,Student,Oily,930.0,Family / Friends,2.9,11–20%,Vegan & cruelty-free,Recycled/recyclable packaging,"Face mask, Toner, Moisturiser, Serum, Exfoliant",Amazon / Flipkart,Every 2–3 months,3,3,5.0,"Yes, aware but not tried",Definitely not,₹300–₹600,Somewhat interested,YouTube,4.0,Important,3,3,2,2,1,3,3,1,1,2,Detractor,500-1000,0,0,0,25-34
SKC0025,Mysuru,Tier 2,Female,32,"₹25,000–₹50,000",Postgraduate,Salaried – Private,Combination,390.0,Family / Friends,3.5,5–10%,Ayurvedic / Herbal,Refillable containers,"Cleanser, Face mask",Nykaa / Purplle,Fortnightly,4,1,7.0,"Yes, use such products",Probably would try,"Above ₹1,000",Somewhat interested,Facebook,4.0,Important,2,3,4,1,4,3,3,2,0,4,Passive,<500,1,0,1,25-34
SKC0026,Patna,Tier 2,Female,29,"₹50,000–₹1,00,000",Doctoral,Homemaker,Dry,1580.0,Social media influencer,4.0,11–20%,Chemical-free / Natural,Recycled/recyclable packaging,"Exfoliant, Sunscreen, Eye cream, Toner",Instagram / Social commerce,Every 2–3 months,4,2,7.0,"Yes, aware but not tried",Neutral,Below ₹300,Somewhat interested,Instagram,2.0,Somewhat important,3,4,2,2,3,3,2,1,0,1,Passive,1001-2000,1,0,0,25-34
SKC0027,Ahmedabad,Tier 1,Female,41,"₹50,000–₹1,00,000",Undergraduate,Homemaker,Combination,1800.0,Social media influencer,3.5,5–10%,Ayurvedic / Herbal,Biodegradable packaging,"Toner, Serum, Cleanser",Brand website (D2C),Every 2–3 months,5,1,8.0,"Yes, aware but not tried",Probably not,"Above ₹1,000",Not interested,Facebook,2.0,Extremely important,3,2,2,1,2,1,4,1,1,4,Passive,1001-2000,1,0,0,35-44
SKC0028,Hyderabad,Tier 1,Female,38,"₹25,000–₹50,000",Postgraduate,Freelancer,Combination,700.0,Social media influencer,2.8,5–10%,Ayurvedic / Herbal,Refillable containers,"Moisturiser, Serum",Offline retail,Rarely,4,2,6.0,"Yes, use such products",Definitely would try,₹300–₹600,Somewhat interested,Instagram,3.0,Somewhat important,2,3,1,1,5,3,2,2,1,2,Detractor,500-1000,0,0,1,35-44
SKC0029,Hyderabad,Tier 1,Female,34,"₹25,000–₹50,000",Undergraduate,Salaried – Government,Oily,740.0,Dermatologist recommendation,3.7,5–10%,Clinically tested actives,No preference,"Serum, Cleanser, Moisturiser",Amazon / Flipkart,Monthly,1,4,1.0,"Yes, use such products",Neutral,₹300–₹600,Not interested,Snapchat,2.0,Extremely important,2,2,3,1,3,1,4,2,1,2,Detractor,500-1000,1,1,0,25-34
SKC0030,Bengaluru,Tier 1,Non-binary / Prefer not to say,27,"₹25,000–₹50,000",Undergraduate,Student,Sensitive,790.0,Social media influencer,2.8,5–10%,Chemical-free / Natural,Recycled/recyclable packaging,"Face mask, Eye cream, Sunscreen",Instagram / Social commerce,Every 2–3 months,5,1,9.0,"Yes, use such products",Neutral,"₹600–₹1,000",Somewhat interested,Twitter/X,3.0,Extremely important,2,2,2,1,3,3,4,2,1,3,Promoter,500-1000,0,0,0,25-34
SKC0031,Kolkata,Tier 1,Male,27,"₹50,000–₹1,00,000",Postgraduate,Salaried – Private,Combination,1730.0,Social media influencer,2.0,5–10%,Chemical-free / Natural,Biodegradable packaging,"Moisturiser, Face mask, Eye cream, Toner",Nykaa / Purplle,Monthly,2,4,3.0,"Yes, aware but not tried",Probably not,"₹600–₹1,000",Not interested,Instagram,3.0,Extremely important,3,3,3,1,2,1,4,1,1,3,Detractor,1001-2000,0,1,0,25-34
SKC0032,Lucknow,Tier 2,Female,48,"₹25,000–₹50,000",Undergraduate,Homemaker,Dry,660.0,Dermatologist recommendation,2.7,11–20%,Clinically tested actives,Refillable containers,"Moisturiser, Toner, Eye cream, Exfoliant, Serum",Nykaa / Purplle,Rarely,5,1,8.0,"No, not aware",Definitely not,"₹600–₹1,000",Not interested,Pinterest,2.0,Somewhat important,2,2,1,2,1,1,2,0,0,3,Passive,500-1000,0,0,0,45+
SKC0033,Kolkata,Tier 1,Female,34,"₹25,000–₹50,000",Postgraduate,Self-employed / Business,Dry,640.0,Brand website / ads,2.5,5–10%,Clinically tested actives,No preference,"Cleanser, Sunscreen, Eye cream, Moisturiser",Instagram / Social commerce,Monthly,4,3,7.0,"Yes, aware but not tried",Probably not,"₹600–₹1,000",Neutral,Instagram,3.0,Extremely important,2,3,3,1,2,2,4,1,1,3,Passive,500-1000,0,0,0,25-34
SKC0034,Chennai,Tier 1,Female,23,"Above ₹1,00,000",Undergraduate,Freelancer,Oily,2320.0,Dermatologist recommendation,2.0,5–10%,Clinically tested actives,Biodegradable packaging,"Cleanser, Serum, Moisturiser",Instagram / Social commerce,Rarely,5,1,8.0,"Yes, aware but not tried",Definitely not,"Above ₹1,000",Somewhat interested,YouTube,4.0,Important,4,2,1,1,1,3,3,1,1,4,Passive,2001-3500,0,0,0,18-24
SKC0035,Hyderabad,Tier 1,Male,23,"₹50,000–₹1,00,000",Undergraduate,Freelancer,Dry,1270.0,Dermatologist recommendation,3.4,5–10%,Vegan & cruelty-free,Refillable containers,"Toner, Serum, Sunscreen, Face mask, Exfoliant",Brand website (D2C),Every 2–3 months,4,2,8.0,"Yes, use such products",Probably would try,"Above ₹1,000",Somewhat interested,Instagram,5.0,Extremely important,3,2,2,1,4,3,4,2,1,4,Passive,1001-2000,0,0,1,18-24
SKC0036,Mumbai,Tier 1,Female,25,"₹50,000–₹1,00,000",Doctoral,Student,Combination,1520.0,Social media influencer,3.8,11–20%,Ayurvedic / Herbal,Minimalist paper packaging,"Sunscreen, Toner, Cleanser",Amazon / Flipkart,Every 2–3 months,2,5,5.0,"No, not aware",Definitely not,Below ₹300,Somewhat interested,Facebook,4.0,Important,3,4,2,2,1,3,3,0,1,1,Detractor,1001-2000,1,1,0,25-34
SKC0037,Surat,Tier 2,Female,35,"Above ₹1,00,000",Undergraduate,Salaried – Private,Oily,3530.0,Family / Friends,3.2,21–30%,Ayurvedic / Herbal,Minimalist paper packaging,"Moisturiser, Toner, Cleanser, Eye cream, Serum",Brand website (D2C),Weekly,4,3,7.0,"No, not aware",Definitely not,"Above ₹1,000",Neutral,Instagram,4.0,Somewhat important,4,2,5,3,1,2,2,0,0,4,Passive,3500+,0,0,0,35-44
SKC0038,Bhopal,Tier 2,Female,48,"₹50,000–₹1,00,000",Postgraduate,Student,Combination,1420.0,Family / Friends,2.9,11–20%,Clinically tested actives,Biodegradable packaging,"Exfoliant, Moisturiser, Eye cream, Cleanser, Serum",Offline retail,Fortnightly,3,3,6.0,"Yes, aware but not tried",Definitely not,"Above ₹1,000",Neutral,Instagram,1.0,Somewhat important,3,3,4,2,1,2,2,1,0,4,Detractor,1001-2000,0,0,0,45+
SKC0039,Delhi,Tier 1,Male,33,"₹50,000–₹1,00,000",High School,Freelancer,Oily,1780.0,Dermatologist recommendation,1.7,5–10%,No strong preference,Refillable containers,"Toner, Exfoliant, Face mask, Sunscreen, Cleanser",Nykaa / Purplle,Rarely,3,3,7.0,"No, not aware",Definitely not,"₹600–₹1,000",Neutral,YouTube,5.0,Important,3,1,1,1,1,2,3,0,1,3,Passive,1001-2000,0,0,0,25-34
SKC0040,Surat,Tier 2,Female,31,"₹25,000–₹50,000",Undergraduate,Self-employed / Business,Dry,730.0,Dermatologist recommendation,2.8,5–10%,Ayurvedic / Herbal,Recycled/recyclable packaging,"Eye cream, Face mask",Amazon / Flipkart,Every 2–3 months,4,2,7.0,"Yes, use such products",Neutral,₹300–₹600,Somewhat interested,Pinterest,3.0,Somewhat important,2,2,2,1,3,3,2,2,0,2,Passive,500-1000,0,0,0,25-34
SKC0041,Pune,Tier 1,Male,32,"₹25,000–₹50,000",Postgraduate,Freelancer,Combination,1160.0,Dermatologist recommendation,3.1,5–10%,Clinically tested actives,No preference,"Moisturiser, Sunscreen, Serum, Face mask, Toner",Brand website (D2C),Every 2–3 months,4,2,7.0,"Yes, use such products",Probably would try,Below ₹300,Very interested,Twitter/X,5.0,Somewhat important,2,3,2,1,4,4,2,2,1,1,Passive,1001-2000,0,0,1,25-34
SKC0042,Chandigarh,Tier 2,Female,27,"Above ₹1,00,000",Postgraduate,Self-employed / Business,Oily,4000.0,Online reviews,3.4,>30%,Ayurvedic / Herbal,No preference,"Serum, Sunscreen, Cleanser, Eye cream, Face mask",Amazon / Flipkart,Weekly,1,5,0.0,"Yes, aware but not tried",Neutral,"₹600–₹1,000",Somewhat interested,Twitter/X,3.0,Extremely important,4,3,5,4,3,3,4,1,0,3,Detractor,3500+,0,1,0,25-34
SKC0043,Visakhapatnam,Tier 2,Female,39,"₹50,000–₹1,00,000",Undergraduate,Freelancer,Oily,1660.0,Family / Friends,2.3,5–10%,Vegan & cruelty-free,Recycled/recyclable packaging,"Sunscreen, Face mask, Eye cream, Serum",Amazon / Flipkart,Rarely,4,2,8.0,"No, not aware",Definitely not,"₹600–₹1,000",Neutral,YouTube,2.0,Somewhat important,3,2,1,1,1,2,2,0,0,3,Passive,1001-2000,0,0,0,35-44
SKC0044,Bengaluru,Tier 1,Female,36,"₹50,000–₹1,00,000",Undergraduate,Homemaker,Combination,1060.0,Family / Friends,3.1,11–20%,No strong preference,No preference,"Face mask, Serum",Amazon / Flipkart,Every 2–3 months,4,3,5.0,"Yes, aware but not tried",Probably not,"Above ₹1,000",Not interested,YouTube,4.0,Important,3,2,2,2,2,1,3,1,1,4,Detractor,1001-2000,0,0,0,35-44
SKC0045,Agra,Tier 2,Female,25,"₹50,000–₹1,00,000",High School,Student,Oily,1600.0,Online reviews,1.9,5–10%,Vegan & cruelty-free,Refillable containers,"Exfoliant, Eye cream, Toner, Face mask, Serum",Instagram / Social commerce,Weekly,5,1,9.0,"Yes, aware but not tried",Definitely not,"₹600–₹1,000",Very interested,YouTube,3.0,Important,3,1,5,1,1,4,3,1,0,3,Promoter,1001-2000,0,0,0,25-34
SKC0046,Kolkata,Tier 1,Male,32,"₹50,000–₹1,00,000",Undergraduate,Student,Oily,1010.0,Family / Friends,2.0,11–20%,Chemical-free / Natural,Minimalist paper packaging,"Toner, Sunscreen, Face mask, Cleanser",Nykaa / Purplle,Every 2–3 months,2,4,4.0,"Yes, use such products",Neutral,"₹600–₹1,000",Neutral,YouTube,4.0,Extremely important,3,2,2,2,3,2,4,2,1,3,Detractor,1001-2000,0,1,0,25-34
SKC0047,Delhi,Tier 1,Female,35,"₹25,000–₹50,000",High School,Student,Sensitive,750.0,Social media influencer,2.8,0%,Clinically tested actives,Refillable containers,"Toner, Moisturiser, Serum, Eye cream",Instagram / Social commerce,Every 2–3 months,4,1,6.0,"No, not aware",Definitely not,₹300–₹600,Somewhat interested,Instagram,5.0,Somewhat important,2,1,2,0,1,3,2,0,1,2,Detractor,500-1000,0,0,0,35-44
SKC0048,Delhi,Tier 1,Male,28,"₹25,000–₹50,000",High School,Salaried – Private,Combination,950.0,Dermatologist recommendation,1.0,5–10%,Chemical-free / Natural,Recycled/recyclable packaging,"Moisturiser, Eye cream, Sunscreen",Instagram / Social commerce,Rarely,5,1,10.0,"No, not aware",Definitely not,Below ₹300,Neutral,Pinterest,3.0,Somewhat important,2,1,1,1,1,2,2,0,1,1,Promoter,500-1000,0,0,0,25-34
SKC0049,Mumbai,Tier 1,Male,33,"₹50,000–₹1,00,000",Postgraduate,Salaried – Private,Combination,1750.0,Social media influencer,3.8,5–10%,Ayurvedic / Herbal,Minimalist paper packaging,"Serum, Cleanser",Amazon / Flipkart,Every 2–3 months,3,3,5.0,"Yes, use such products",Probably not,"₹600–₹1,000",Neutral,Instagram,1.0,Extremely important,3,3,2,1,2,2,4,2,1,3,Detractor,1001-2000,1,0,0,25-34
SKC0050,Indore,Tier 2,Female,28,"Above ₹1,00,000",Undergraduate,Freelancer,Dry,2310.0,Family / Friends,2.2,0%,Vegan & cruelty-free,Recycled/recyclable packaging,"Cleanser, Eye cream, Toner, Sunscreen",Brand website (D2C),Monthly,4,3,7.0,"Yes, aware but not tried",Probably not,"Above ₹1,000",Somewhat interested,Pinterest,2.0,Not important,4,2,3,0,2,3,1,1,0,4,Passive,2001-3500,0,0,0,25-34
SKC0051,Chandigarh,Tier 2,Female,22,"₹25,000–₹50,000",Undergraduate,Salaried – Private,Combination,350.0,Social media influencer,2.6,5–10%,Chemical-free / Natural,Minimalist paper packaging,"Eye cream, Exfoliant",Amazon / Flipkart,Monthly,3,3,4.0,"Yes, use such products",Probably would try,"₹600–₹1,000",Somewhat interested,Instagram,5.0,Somewhat important,2,2,3,1,4,3,2,2,0,3,Detractor,<500,0,0,1,18-24
SKC0052,Kolkata,Tier 1,Female,25,"₹50,000–₹1,00,000",Undergraduate,Student,Oily,2300.0,Family / Friends,3.2,5–10%,Chemical-free / Natural,Biodegradable packaging,"Moisturiser, Exfoliant",Instagram / Social commerce,Every 2–3 months,4,2,7.0,"Yes, aware but not tried",Neutral,"₹600–₹1,000",Very interested,Snapchat,5.0,Important,3,2,2,1,3,4,3,1,1,3,Passive,2001-3500,0,0,0,25-34
SKC0053,Delhi,Tier 1,Female,26,"Above ₹1,00,000",Postgraduate,Salaried – Government,Normal,5210.0,Online reviews,3.0,11–20%,Chemical-free / Natural,Refillable containers,"Exfoliant, Moisturiser",Amazon / Flipkart,Fortnightly,4,2,7.0,"Yes, aware but not tried",Definitely not,"₹600–₹1,000",Neutral,Instagram,2.0,Not important,4,3,4,2,1,2,1,1,1,3,Passive,3500+,0,0,0,25-34
SKC0054,Delhi,Tier 1,Male,32,"₹50,000–₹1,00,000",Undergraduate,Freelancer,Combination,2630.0,Social media influencer,2.8,5–10%,Ayurvedic / Herbal,Refillable containers,"Exfoliant, Moisturiser",Offline retail,Fortnightly,1,5,2.0,"Yes, use such products",Probably not,"₹600–₹1,000",Not interested,Snapchat,2.0,Extremely important,3,2,4,1,2,1,4,2,1,3,Detractor,2001-3500,0,1,0,25-34
SKC0055,Surat,Tier 2,Female,21,"Above ₹1,00,000",High School,Self-employed / Business,Combination,4170.0,Social media influencer,2.7,11–20%,No strong preference,Recycled/recyclable packaging,"Toner, Cleanser, Moisturiser",Offline retail,Every 2–3 months,5,1,8.0,"No, not aware",Definitely not,₹300–₹600,Somewhat interested,Instagram,2.0,Extremely important,4,1,2,2,1,3,4,0,0,2,Passive,3500+,0,0,0,18-24
SKC0056,Kochi,Tier 2,Male,22,"Below ₹25,000",Postgraduate,Salaried – Private,Combination,250.0,Social media influencer,2.9,5–10%,Chemical-free / Natural,Minimalist paper packaging,"Toner, Serum",Amazon / Flipkart,Every 2–3 months,5,1,9.0,"Yes, use such products",Neutral,₹300–₹600,Very interested,Instagram,2.0,Important,1,3,2,1,3,4,3,2,0,2,Promoter,<500,0,0,0,18-24
SKC0057,Pune,Tier 1,Non-binary / Prefer not to say,20,"Above ₹1,00,000",Undergraduate,Freelancer,Dry,440.0,Social media influencer,3.4,11–20%,Clinically tested actives,Recycled/recyclable packaging,"Toner, Sunscreen",Instagram / Social commerce,Monthly,1,4,3.0,"Yes, aware but not tried",Definitely not,"Above ₹1,000",Neutral,Snapchat,5.0,Important,4,2,3,2,1,2,3,1,1,4,Detractor,<500,0,1,0,18-24
SKC0058,Jaipur,Tier 2,Female,39,"₹25,000–₹50,000",Undergraduate,Self-employed / Business,Oily,1000.0,Dermatologist recommendation,2.2,11–20%,Clinically tested actives,Biodegradable packaging,"Face mask, Eye cream",Instagram / Social commerce,Monthly,3,3,3.0,"Yes, aware but not tried",Neutral,"Above ₹1,000",Somewhat interested,Snapchat,4.0,Extremely important,2,2,3,2,3,3,4,1,0,4,Detractor,500-1000,0,0,0,35-44
